"S.No.","T. Time & Place","A. Action/Event (핵심 사건)","R. Reaction/Result (상황 변화 및 결과)"
"[도입]","","",""
"1","낮 / 1980년대 뉴욕 브루클린의 낡은 지하 방","우울증에 시달리던 마리오가 현실의 비참함 속에서 깨어난다.","과거의 영광을 잃고 무력감에 빠진 마리오의 현재 상태와 비극적인 현실을 보여준다."
"[전개]","","",""
"2","밤 / 마리오의 지하 방","낡은 컴퓨터에서 온 메시지를 통해 디지털 도시 '코인폴리스'가 위기에 처했음을 알게 된다.","마리오에게 새로운 목표가 생기고, 다시 영웅으로서의 여정을 시작할 계기를 얻는다."
"3","- / 디지털 도시 '코인폴리스'","마리오는 파트너 요시와 함께 '제로 코드'를 찾아 마지막 서버실로 향한다.","문제 해결을 위한 본격적인 모험이 시작되며, 조력자와 목표가 명확해진다."
"[절정]","","",""
"4","- / 코인폴리스의 중심 서버 '코어'","마리오 앞에 시스템의 운명을 결정할 '삭제(0)'와 '리셋(1)' 버튼이 나타난다.","마리오가 극적인 선택의 기로에 놓이며 갈등이 최고조에 달한다."
"5","- / 코인폴리스의 중심 서버 '코어'","피치와 쿠파가 대립하고, 마리오는 상실의 고통을 떠올리며 두 선택지를 모두 거부한다.","마리오의 내적 갈등이 해결되고, 제3의 길을 선택하리라는 결심을 굳힌다."
"6","- / 코인폴리스의 중심 서버 '코어'","마리오가 '제로 코드'를 사용해 '0'과 '1' 버튼을 합쳐 '무한(∞)' 기호를 만든다.","위기를 해결하는 창의적인 해법이 제시되며, 이야기의 전환점이 되는 기적이 일어난다."
"[결말]","","",""
"7","- / 리팩토링된 '코인폴리스'","'무한'의 에너지가 시스템 전체를 재구성하여 생명력 있는 세계로 변화시킨다.","모든 갈등이 해소되고, 파괴나 초기화가 아닌 '재구성'이라는 새로운 희망의 메시지를 전달한다."
"8","밤 / 코인폴리스의 가장 높은 빌딩 위","마리오와 동료들이 진짜 밤하늘을 보며 스스로 다음 스테이지를 만들자고 다짐한다.","주체적인 미래를 만들어가는 인물들의 성장과 함께 무한한 가능성을 암시하며 이야기가 마무리된다."